"Carimbo de data/hora","Onde tudo começou? ","Quem deu o primeiro passo e iniciou o contato?  ","Como foi esse ""Oi"" inicial?  ","Quanto tempo de conversa online antes do primeiro encontro?  ","E quem soltou o ""vamos marcar""?   ","No começo, como era o ritmo das respostas?   ","Como foi o convite para o primeiro encontro?  ","Acabou o primeiro encontro... quem mandou a primeira mensagem depois?  ","Depois desse dia, o papo virou rotina?","Idade","Localização (Cidade/Estado)","Gênero  ","Orientação Sexual "
"2026/03/02 9:37:11 PM GMT+0","Barzinho / Balada","A outra pessoa","O boy chegando cantando pagode todo divertidinho e soltinho. Ele foi engraçado e chegou de um modo espontâneo e me disse que ele tem 10 mil horas de CS…enfim eu ri muito e ele me ganhou pq eu amo CS 🤣","Não começou online, então... já estava lá","A outra pessoa chamou","Instantâneo (respondia na hora)","Ele disse que iria ser meu guia turístico e iria me levar pra conhecer muita coisa ","A outra pessoa mandou primeiro","A frequência de conversa foi aumentando.","25 a 34 anos","SC","Feminino","Heterossexual"
"2026/03/02 10:18:53 PM GMT+0","Trabalho / Faculdade","Foi meio que ao mesmo tempo / Natural","Pelo Instagram ","Cerca de um mês","Eu chamei","Instantâneo (respondia na hora)","Basicamente não teve.... Aconteceu pq eu estava ja na rua e ele se incluiu.... ","Eu mandei logo que cheguei em casa","Esfria.... Como se o interesse nao fosse o mesmo....basicamente a pessoa tenta te manter mas nao te prende ","35 a 44 anos","São Paulo ","Feminino","Heterossexual"
"2026/03/02 11:34:46 PM GMT+0","Tinder / Bumble / Apps de Relacionamento em Geral","A outra pessoa","Acredito que tenha sido uma conversa inicial comum, perguntando e demonstrando interesse na vida do outro ","Cerca de um mês","Surgiu naturalmente no meio do assunto","Ritmo normal (levava alguns minutos/uma horinha)","Foi algo simples, tomar uma cerveja e conversar ","A outra pessoa mandou primeiro","Sim, conversamos muito todos os dias, sempre mantendo o assunto e demonstrando interesse ","18 a 24 anos","Atibaia SP","Feminino","Heterossexual"
"2026/03/02 11:39:10 PM GMT+0","Jogo online","Foi meio que ao mesmo tempo / Natural","Eu explodi o carro dele no GTA e fugi","Mais de um mês (pensei que não ia acontecer nunca)","Surgiu naturalmente no meio do assunto","Instantâneo (respondia na hora)","Ele veio viajar pra cá com a família ","A outra pessoa mandou primeiro","Falar todo dia, jogar juntos, nunca diminuiu a frequência. Isso foi por 2 anos","18 a 24 anos","Atibaia SP","Feminino","Heterossexual"
"2026/03/03 9:36:16 AM GMT+0","Rua ","A outra pessoa","Msg no face ","Menos de uma semana","A outra pessoa chamou","Instantâneo (respondia na hora)","Simples, barzinho.","A outra pessoa mandou primeiro","Temos 11 anos de relacionamento, e sempre nos falamos todos os dias. E nós vimos todos os dias desde então","25 a 34 anos","Mairiporã SP","Feminino","Bissexual"
"2026/03/05 10:19:19 PM GMT+0","chat","Eu","nao lembro ","Mais de um mês (pensei que não ia acontecer nunca)","Eu chamei","Demorado (só respondia à noite ou horas depois)","shopping ","A outra pessoa mandou primeiro","sim,","18 a 24 anos","sao paulo","Feminino","Heterossexual"
"2026/03/06 2:14:25 AM GMT+0","Trabalho / Faculdade","Foi meio que ao mesmo tempo / Natural","Comentário  na música q a pessoa postou","Cerca de um mês","A outra pessoa chamou","Ritmo normal (levava alguns minutos/uma horinha)","Bora ver um filme no cinema ","A outra pessoa mandou primeiro","Manteve pra aumentado","35 a 44 anos","Terra sem lei","Feminino","Pansexual"
"2026/03/06 2:25:57 AM GMT+0","Trabalho / Faculdade","A outra pessoa","Ooi","Não começou online, então... já estava lá","Surgiu naturalmente no meio do assunto","Ritmo normal (levava alguns minutos/uma horinha)","Algo simples ","Eu mandei logo que cheguei em casa","Virou rotina","25 a 34 anos","São paulo ","Feminino","Heterossexual"
"2026/03/07 10:46:18 PM GMT+0","Tinder / Bumble / Apps de Relacionamento em Geral","A outra pessoa","Geralmente msg no aplicativo. Mas só anda se a pessoa souber conversar. A maioria so quer mesmo marcar de transar. ","Mais de um mês (pensei que não ia acontecer nunca)","Eu chamei","Ritmo normal (levava alguns minutos/uma horinha)","Com reserva. Mas pq eu tb quero algo mais objetivo. ","A outra pessoa mandou primeiro","Se manteve. ","35 a 44 anos","Florianopolis / Santa Catarina,  Brasil","Feminino","Heterossexual"
"2026/03/09 11:10:11 PM GMT+0","Instagram (DM ou Stories)","A outra pessoa","Normalmente começa pelo Instagram. Eu sigo a pessoa e espero ela seguir de volta. Às vezes curto alguma foto ou story e ele reage também. Depois vem um ""oi, tudo bem?"" e a conversa começa. Muitas vezes eles comentam alguma foto ou story para puxar assunto, ou respondem algo nos destaques.","Cerca de um mês","A outra pessoa chamou","Ritmo normal (levava alguns minutos/uma horinha)","Normalmente algo simples. Tomar café, jantar, ir ao shopping ou em alguma sorveteria ou restaurante. Se o cara é de perto ele já sugere algum lugar, se é de outra cidade ele pergunta o que tem de legal na minha cidade para ir.","A outra pessoa mandou primeiro","Normalmente algo simples. Tomar café, jantar, ir ao shopping ou em alguma sorveteria ou restaurante. Se o cara é de perto ele já sugere algum lugar, se é de outra cidade ele pergunta o que tem de legal na minha cidade para ir.","18 a 24 anos","SP","Feminino","Heterossexual"
